dataset,task,score
b3db_classification,classification,0.9397737765466297
b3db_regression,regression,0.4816509473844713
bioavailability_ma,classification,0.6957100099767209
caco2_wang,regression,0.31178080832034083
clearance_microsome_az,regression,22.836344416069977
cyp1a2_veith,classification,0.9324606321585068
cyp2c19_veith,classification,0.882116413992624
cyp2c9_substrate_carbonmangels,classification,0.5607704829083017
cyp2c9_veith,classification,0.8843210761342963
cyp2d6_substrate_carbonmangels,classification,0.7908240647118301
cyp2d6_veith,classification,0.871629635527558
cyp3a4_substrate_carbonmangels,classification,0.6560804701627486
cyp3a4_veith,classification,0.8750445424638156
half_life_obach,regression,8.529608171297571
hia_hou,classification,0.9637860082304527
hlm,classification,0.8040569913606779
pampa_ncats,classification,0.7397888230749422
pgp_broccatelli,classification,0.9273527059450812
ppbr_az,regression,7.3639180975760326
rlm,classification,0.8158957247269013
solubility_aqsoldb,regression,0.7906911516479769
vdss_lombardo,regression,1.8779225454601072
sarscov2_3clpro_diamond,classification,0.7059907834101382
sarscov2_vitro_touret,classification,0.5333891563742935
ames,classification,0.849191290215199
herg,classification,0.8128129602356405
herg_karim,classification,0.8689360485785103
ld50_zhu,regression,0.6424858650459813
